Number_of_Positive_Tools,Variant_Count,Percentage
0,7356,1.9943012219026108
1,18896,5.122935819612798
2,47006,12.743899298090557
3,63225,17.141067802445974
4,50341,13.64805843009779
5,38757,10.507494896313146
6,34295,9.297792333489676
7,34681,9.402441636324694
8,31371,8.505060308905222
9,25804,6.995778783302743
10,17111,4.639000572046707
11,8,0.002168897468083318
